,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price
0,13189295,"$1,199,000",1199000.0,1198351.0,2513.0,678500.0,5.0,3.0,2464.0,10890.0,0.25,39.9929,-105.23588,80303,Boulder,CO,4630 Sioux Dr Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/4630-Sioux-Dr-Boulder-CO-80303/13189295_zpid/,5.5153409029153355,Best,486.60714285714283,110.1010101010101,8426.0,492.8,821.3333333333334,308.0,4.419642857142857,-649.0
1,220536595,"$800,000",800000.0,781800.0,3140.0,632840.0,2.0,3.0,4218.0,6319.0,0.14506427915518824,39.89361,-105.13996,80021,Broomfield,CO,12701 Meadowlark Ln Broomfield CO 80021,FOR_SALE,Coming soon,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/12701-Meadowlark-Ln-Broomfield-CO-80021/220536595_zpid/,4.179120471383301,Best,189.6633475580844,126.60231049216648,2101.0,2109.0,1406.0,843.6,1.4981033665244192,-18200.0
2,13246857,"$970,000",970000.0,,,635700.0,4.0,4.0,2795.0,6534.0,0.15,40.002136,-105.127525,80026,Lafayette,CO,2508 Ravenwood Ln Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2508-Ravenwood-Ln-Lafayette-CO-80026/13246857_zpid/,7.562547641531639,Good,347.0483005366726,148.45423936333026,3739.0,698.75,698.75,349.375,2.3377459749552774,
3,13224067,"$1,150,000",1150000.0,1150006.0,3428.0,826200.0,3.0,3.0,2446.0,8276.4,0.19,39.984978,-105.144844,80027,Louisville,CO,371 W Harper St Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/371-W-Harper-St-Louisville-CO-80027/13224067_zpid/,6.064009640006323,Best,470.15535568274737,138.94930162872748,5830.4,815.3333333333334,815.3333333333334,407.6666666666667,3.383646770237122,6.0
4,13248168,"$1,150,000",1150000.0,1150902.0,3294.0,765400.0,5.0,3.0,3703.0,9583.2,0.22000000000000003,39.963272,-105.154175,80027,Louisville,CO,498 Orchard Way Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/498-Orchard-Way-Louisville-CO-80027/13248168_zpid/,4.597449201745714,Best,310.55900621118013,120.00166958844643,5880.200000000001,740.6,1234.3333333333333,462.875,2.5879557115852014,902.0
5,13187936,"$2,600,000",2600000.0,,,1396600.0,5.0,4.0,3715.0,13068.0,0.3,39.969326,-105.24775,80305,Boulder,CO,3970 Longwood Ave Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/3970-Longwood-Ave-Boulder-CO-80305/13187936_zpid/,4.169452463808425,Best,699.8654104979812,198.95928986838078,9353.0,743.0,928.75,412.77777777777777,3.5176312247644685,
6,13197459,"$675,000",675000.0,675006.0,2873.0,538400.0,3.0,2.0,1728.0,52524.648,1.2058,40.000515,-105.14173,80026,Lafayette,CO,9057 Baseline Rd Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/9057-Baseline-Rd-Lafayette-CO-80026/13197459_zpid/,7.0390957962352925,Good,390.625,12.851109444845779,50796.648,576.0,864.0,345.6,30.396208333333334,6.0
7,13247146,"$1,649,700",1649700.0,,,171250.0,5.0,4.0,3342.0,6969.6,0.16,39.95852,-105.146126,80027,Louisville,CO,731 Saint Andrews Ln Louisville CO 80027,FOR_SALE,New construction,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/731-Saint-Andrews-Ln-Louisville-CO-80027/13247146_zpid/,4.682336841963137,Best,493.62657091561937,236.69938016528926,3627.6000000000004,668.4,835.5,371.3333333333333,2.0854578096947938,
8,13243655,"$1,369,000",1369000.0,,,159950.0,3.0,3.0,2225.0,6098.4,0.13999999999999999,39.955826,-105.15174,80027,Louisville,CO,494 Muirfield Cir Louisville CO 80027,FOR_SALE,New construction,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/494-Muirfield-Cir-Louisville-CO-80027/13243655_zpid/,4.335240472182512,Best,615.2808988764045,224.4851108487472,3873.3999999999996,741.6666666666666,741.6666666666666,370.8333333333333,2.7408539325842693,
9,13246654,"$850,000",850000.0,869230.0,3175.0,591100.0,4.0,3.0,2948.0,6544.0,0.1502295684113866,39.935482,-105.14757,80027,Superior,CO,1812 Eldorado Dr Superior CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1812-Eldorado-Dr-Superior-CO-80027/13246654_zpid/,3.7847501192926543,Best,288.33107191316145,129.88997555012224,3596.0,737.0,982.6666666666666,421.14285714285717,2.219810040705563,19230.0
10,13220722,"$679,000",679000.0,,,422800.0,3.0,2.0,1284.0,6969.6,0.16,39.98416,-105.15999,80027,Louisville,CO,1430 Kennedy Ave Louisville CO 80027,FOR_SALE,Coming soon,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1430-Kennedy-Ave-Louisville-CO-80027/13220722_zpid/,5.569079412421808,Best,528.816199376947,97.42309458218548,5685.6,428.0,642.0,256.8,5.42803738317757,
11,13176469,"$1,225,000",1225000.0,,,943600.0,3.0,2.0,1562.0,4356.0,0.1,40.02306,-105.28368,80304,Boulder,CO,1102 Portland Pl Boulder CO 80304,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1102-Portland-Pl-Boulder-CO-80304/13176469_zpid/,8.340152280973312,Good,784.2509603072983,281.2213039485767,2794.0,520.6666666666666,781.0,312.4,2.788732394366197,
12,249283576,"$699,000",699000.0,699003.0,2728.0,468540.0,2.0,2.0,2460.0,5227.2,0.12,39.891235,-105.14508,80021,Broomfield,CO,13178 Sandstone Cir Broomfield CO 80021,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/13178-Sandstone-Cir-Broomfield-CO-80021/249283576_zpid/,3.9906991232330435,Best,284.1463414634146,133.72359963269054,2767.2,1230.0,1230.0,615.0,2.124878048780488,3.0
13,67149184,"$1,195,000",1195000.0,,,832900.0,3.0,3.0,2159.0,7405.2,0.16999999999999998,40.005848,-105.13225,80026,Lafayette,CO,2979 Thunder Lake Cir Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2979-Thunder-Lake-Cir-Lafayette-CO-80026/67149184_zpid/,7.624014329293672,Good,553.4969893469199,161.37308918057582,5246.2,719.6666666666666,719.6666666666666,359.8333333333333,3.4299212598425197,
