,zpid,price,priceLabel,beds,baths,area,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,shouldShowZestimateAsPrice,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,info3String,info1String,brokerName,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,timeOnZillow,latLong_latitude,latLong_longitude,variableData_type,variableData_text,variableData_data_isFresh,hdpData_homeInfo_zpid,hdpData_homeInfo_zipcode,hdpData_homeInfo_city,hdpData_homeInfo_state,hdpData_homeInfo_latitude,hdpData_homeInfo_longitude,hdpData_homeInfo_price,hdpData_homeInfo_datePriceChanged,hdpData_homeInfo_bathrooms,hdpData_homeInfo_bedrooms,hdpData_homeInfo_livingArea,hdpData_homeInfo_homeType,hdpData_homeInfo_homeStatus,hdpData_homeInfo_daysOnZillow,hdpData_homeInfo_isFeatured,hdpData_homeInfo_shouldHighlight,hdpData_homeInfo_zestimate,hdpData_homeInfo_rentZestimate,hdpData_homeInfo_listing_sub_type_is_FSBA,hdpData_homeInfo_priceReduction,hdpData_homeInfo_isUnmappable,hdpData_homeInfo_isPreforeclosureAuction,hdpData_homeInfo_homeStatusForHDP,hdpData_homeInfo_priceForHDP,hdpData_homeInfo_priceChange,hdpData_homeInfo_isNonOwnerOccupied,hdpData_homeInfo_isPremierBuilder,hdpData_homeInfo_isZillowOwned,hdpData_homeInfo_currency,hdpData_homeInfo_country,hdpData_homeInfo_taxAssessedValue,hdpData_homeInfo_lotAreaValue,hdpData_homeInfo_lotAreaUnit,hdpData_homeInfo_listing_sub_type_is_openHouse,hdpData_homeInfo_listing_sub_type_is_comingSoon,hdpData_homeInfo_openHouse,hdpData_homeInfo_open_house_info_open_house_showing,variableData,hdpData_homeInfo_listing_sub_type_is_newHome,hdpData_homeInfo_newConstructionType,hdpData_homeInfo_videoCount,communityName,isPropertyResultCDP,style,isCdpResult,unitCount,hdpData_homeInfo_group_type,hdpData_homeInfo_priceSuffix,hdpData_homeInfo_providerListingID,hdpData_homeInfo_unit,hdpData_homeInfo_listing_sub_type_is_bankOwned,schools_rating,school_district,num_stories,year_built,year_renovated,sq_ft_finished,total_sq_ft,lot_sq_ft,taxable_land_value,taxable_improvement_value,county_name,basement_information_BASEMENT_SQUARE_FEET,basement_information_BASEMENT_FINISH_CODE,basement_information_BASEMENT_TYPE_CODE,bathroom_information_FULL_BATHS,bathroom_information_HALF_BATHS,heating_&_cooling_HEATING_TYPE_CODE,room_information_TOTAL_ROOMS,exterior_information_CONDITION_CODE,exterior_information_STYLE_CODE,exterior_information_CONSTRUCTION_TYPE_CODE,exterior_information_BUILDING_QUALITY_CODE,exterior_information_EXTERIOR_WALL_CODE,exterior_information_ROOF_COVER_CODE,exterior_information_ROOF_TYPE_CODE,exterior_information_BUILDING_CODE,property_information_SUBDIVISION_NAME,property_information_LIVING_SQUARE_FEET,property_information_GROUND_FLOOR_SQUARE_FEET,property_information_BUILDING_SQUARE_FEET,property_information_STORIES_NUMBER,property_information_STORIES_CODE,property_information_LEGAL_DESCRIPTION,parking_&_garage_information_PARKING_TYPE,parking_&_garage_information_GARAGE_PARKING_SQUARE_FEET,parking_&_garage_information_GARAGE_CODE,lot_information_NUMBER_OF_BUILDINGS,lot_information_LAND_SQUARE_FOOTAGE,lot_information_LEGAL_LOT_NUMBER,lot_information_LEGAL_BLOCK_NUMBER,lot_information_MUNICIPALITY_NAME,lot_information_ACRES,lot_information_COUNTY_USE_DESCRIPTION,assessor_information_ASSESSED_YEAR,assessor_information_TAX_AREA,heating_&_cooling_AIR_CONDITIONING_CODE,fireplace_information_FIREPLACE_INDICATOR,property_information_ADJUSTED_GROSS_SQUARE_FEET,parking_&_garage_information_PARKING_SPACES,lot_information_ZONING_CODE,lot_information_STATE_USE_DESCRIPTION,bathroom_information_THREE_QUARTERS_BATHS,fireplace_information_NUMBER_OF_FIREPLACES,location_information_LOCATION_INFLUENCE_CODE,fireplace_information_FIREPLACE_TYPE_CODE,exterior_information_BUILDING_IMPROVEMENT_CODE,pool_information_POOL_CODE,pool_information_POOL_INDICATOR,lot_information_DEPTH_FOOTAGE,lot_information_FRONT_FOOTAGE,bathroom_information_BATH_FIXTURES,heating_&_cooling_FUEL_CODE,property_information_GROSS_SQUARE_FEET,utility_information_UTILITIES_CODE,property_information_SA_LGL_DSCRPTN,property_information_SA_CONSTRUCTION_CODE,property_information_SA_HEATING_COOLING,property_information_SA_FIREPLACE_CODE,property_information_SA_GARAGE_CARPORT,property_information_SA_NBR_UNITS,exterior_information_FOUNDATION_CODE,utility_information_SEWER_CODE,utility_information_WATER_CODE
0,13189295,"$1,199,000",$1.20M,5.0,3.0,2464.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/9f4b148129fc7377598e48477fd8fa69-p_e.jpg,True,False,,False,/homedetails/4630-Sioux-Dr-Boulder-CO-80303/13189295_zpid/,ForSale,For Sale (Broker),False,False,False,4630 Sioux Dr Boulder CO 80303,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #983553,Haskell Homes Real Estate LTD,True,False,False,,24374273,39.9929,-105.23588,TIME_ON_INFO,6 hours ago,False,13189295,80303,Boulder,CO,39.9929,-105.23588,1199000.0,1681196400000.0,3.0,5.0,2464.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1198351.0,2513.0,True,"$23,000 (Apr 11)",False,False,FOR_SALE,1199000.0,-23000.0,True,False,False,USD,USA,678500.0,0.25,acres,,,,,,,,,,,,,,,,,,,7.4,Boulder Valley Re 2 School District,1.0,1961.0,1966.0,2464.0,2464.0,10985.0,40227.0,6929.0,Boulder County,"1,232",Finished,Finished,1,1,Forced Air,6,Average,Ranch,Masonry,Average,Brick Veneer,Asphalt,Asphalt,Single Family,KEEWAYDIN,"2,464","1,232","2,968",1,1,LOT 8 BLK 6 KEEWAYDIN,Attached Garage,504,Attached,1,"10,985",8,6,BOULDER,0.2522,1 FAMILY RESID,2022,RE2-BLDR-NCWD-UDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,220536595,"$800,000",$800K,2.0,3.0,4218.0,FOR_SALE,Coming soon,False,False,False,https://photos.zillowstatic.com/fp/93c8d5ca4818f0a14ed0ceccec496f0b-p_e.jpg,True,False,,False,/homedetails/12701-Meadowlark-Ln-Broomfield-CO-80021/220536595_zpid/,ComingSoon,Coming Soon,False,False,False,12701 Meadowlark Ln Broomfield CO 80021,https://photos.zillowstatic.com/fp/8dd1dd7033ea7ca8cc1a403da3dafc72-zillow_web_inf_14.jpg,MLS ID #6732925,Keller Williams DTC,True,False,False,,33598234,39.89361,-105.13996,OPEN_HOUSE,Open: Thu. 3:30-5:30pm,,220536595,80021,Broomfield,CO,39.89361,-105.13996,800000.0,,3.0,2.0,4218.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,781800.0,3140.0,,,False,False,FOR_SALE,800000.0,,True,False,False,USD,USA,632840.0,6319.0,sqft,True,True,Thu. 3:30-5:30pm,"[{'open_house_start': 1682634600000, 'open_house_end': 1682641800000}]",,,,,,,,,,,,,,,6.3,Jefferson County R-1 School District,,2015.0,,2109.0,2109.0,6319.0,7990.0,35990.0,Jefferson County,"2,109",,Unfinished,2,1,Forced Air Gas,,Average,Ranch,,,Frame Brick,Asphalt,Asphalt,Ranch,GREAT WESTERN PARK FILING 4 REP D,"2,109",,"4,711",,,SUBD: GREAT WESTERN PARK FILING NO 4 REPLAT D LOT: 22 BLOCK: 20,Attached Garage,493,Attached,1,"6,319",22,20,JEFFERSON,0.1451,RESIDENTIAL SINGLE FAMILY,2022,GWP MD 2 APEX,Central,Has Fireplace,"4,218",4,PUD,SINGLE FAM RES IMPS,,,,,,,,,,,,,,,,,,,,,,
2,13246857,"$970,000",$970K,4.0,4.0,2795.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/70b8b119b7a4f61127718d423d9d9522-p_e.jpg,True,False,,False,/homedetails/2508-Ravenwood-Ln-Lafayette-CO-80026/13246857_zpid/,ForSale,For Sale (Broker),False,False,False,2508 Ravenwood Ln Lafayette CO 80026,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #986027,"Homestead Real Estate, LLC",True,False,False,,94281435,40.002136,-105.127525,OPEN_HOUSE,Open: Sun. 11am-1pm,,13246857,80026,Lafayette,CO,40.002136,-105.127525,970000.0,,4.0,4.0,2795.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,True,,False,False,FOR_SALE,970000.0,,True,False,False,USD,USA,635700.0,6534.0,sqft,True,,Sun. 11am-1pm,"[{'open_house_start': 1682272800000, 'open_house_end': 1682280000000}]",,,,,,,,,,,,,,,6.0,Boulder Valley Re 2 School District,,1993.0,2006.0,2795.0,2795.0,6744.0,11169.0,33013.0,Boulder County,986,Finished,Finished,2,1,Forced Air,9,Good,,Frame,Good,Frame Wood,,,Single Family,INDIAN PEAKS FLG 1,"2,795","1,000","3,411",,2 Plus,LOT 57 INDIAN PEAKS 1,Attached Garage,616,Attached,1,"6,744",57,,LAFAYETTE,0.1548,1 FAMILY RESID,2022,RE2-LAF-UDFC,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
3,13224067,"$1,150,000",$1.15M,3.0,3.0,2446.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/38a039bd0555ac013621889d2eeb4117-p_e.jpg,True,False,,False,/homedetails/371-W-Harper-St-Louisville-CO-80027/13224067_zpid/,ForSale,For Sale (Broker),False,False,False,371 W Harper St Louisville CO 80027,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #985991,Coldwell Banker Realty-Boulder,True,False,False,,110758946,39.984978,-105.144844,,,,13224067,80027,Louisville,CO,39.984978,-105.144844,1150000.0,,3.0,3.0,2446.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1150006.0,3428.0,True,,False,False,FOR_SALE,1150000.0,,True,False,False,USD,USA,826200.0,8276.4,sqft,,,,,,,,,,,,,,,,,,,7.7,Boulder Valley Re 2 School District,,1978.0,2007.0,2446.0,2446.0,8456.0,22421.0,35000.0,Boulder County,648,Finished,Finished,1,1,Forced Air,7,Good,,Frame,Good,Frame Wood/Stucco,Asphalt,Asphalt,Single Family,PARKWOOD 3,"2,446","1,098","2,937",,2 Plus,LOT 5 BLK 1 PARKWOOD 3,Attached Garage,491,Attached,1,"8,456",5,1,LOUISVILLE,0.1941,1 FAMILY RESID,2022,RE2-LSVL-UDFC-LOFD,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,13248168,"$1,150,000",$1.15M,5.0,3.0,3703.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/178f0ff04a84b8512d5e20686981befa-p_e.jpg,True,False,,False,/homedetails/498-Orchard-Way-Louisville-CO-80027/13248168_zpid/,ForSale,For Sale (Broker),False,False,False,498 Orchard Way Louisville CO 80027,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #985981,Modus Real Estate,True,False,False,,116307279,39.963272,-105.154175,,,,13248168,80027,Louisville,CO,39.963272,-105.154175,1150000.0,,3.0,5.0,3703.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1150902.0,3294.0,True,,False,False,FOR_SALE,1150000.0,,True,False,False,USD,USA,765400.0,9583.2,sqft,,,,,,,,,,,,,,,,,,,7.7,Boulder Valley Re 2 School District,1.0,1997.0,1997.0,2180.0,2180.0,9596.0,26959.0,26236.0,Boulder County,"2,122",,Unfinished,2,,Forced Air,7,Good,Ranch,Frame,Good,Frame Wood,,,Single Family,MEADOWS AT COAL CREEK,"2,180","2,180","4,786",1,1,LOT 9 MEADOWS AT COAL CREEK,Attached Garage,484,Attached,1,"9,596",9,,LOUISVILLE,0.2203,1 FAMILY RESID,2022,RE2-LSVL-UDFC-LOFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13187936,"$2,600,000",$2.60M,5.0,4.0,3715.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/1acb3a812fe45ad52be2ae598adfe4d4-p_e.jpg,True,False,,False,/homedetails/3970-Longwood-Ave-Boulder-CO-80305/13187936_zpid/,ForSale,For Sale (Broker),True,False,False,3970 Longwood Ave Boulder CO 80305,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #985939,RE/MAX Elevate,True,False,False,,181586103,39.969326,-105.24775,OPEN_HOUSE,Open: Sun. 12-2pm,,13187936,80305,Boulder,CO,39.969326,-105.24775,2600000.0,,4.0,5.0,3715.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,True,,False,False,FOR_SALE,2600000.0,,True,False,False,USD,USA,1396600.0,0.3,acres,True,,Sun. 12-2pm,"[{'open_house_start': 1682276400000, 'open_house_end': 1682283600000}]",,,,,,,,,,,,,,,8.0,Boulder Valley Re 2 School District,,1974.0,1974.0,3186.0,3186.0,12973.0,63488.0,33575.0,Boulder County,"1,032",Finished,Walk Out,2,,Hot Water,8,Good,,Frame,Good,Frame Wood,Asphalt,Asphalt,Single Family,ROLLING HILLS,"3,186","1,666","3,773",,2 Plus,LOT 16 BLK 13 ROLLING HILLS 1 REPLAT,Attached Garage,483,Attached,1,"12,973",16,13,BOULDER,0.2978,1 FAMILY RESID,2022,RE2-BLDR-NCWD-UDFC,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6,13197459,"$675,000",$675K,3.0,2.0,1728.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/4690e06ce66f50bd4101ce9b36c1c161-p_e.jpg,True,False,,False,/homedetails/9057-Baseline-Rd-Lafayette-CO-80026/13197459_zpid/,ForSale,For Sale (Broker),False,False,False,9057 Baseline Rd Lafayette CO 80026,https://photos.zillowstatic.com/fp/8dd1dd7033ea7ca8cc1a403da3dafc72-zillow_web_inf_14.jpg,MLS ID #8333296,Colorado Home Realty,True,False,False,,184402648,40.000515,-105.14173,,,,13197459,80026,Lafayette,CO,40.000515,-105.14173,675000.0,,2.0,3.0,1728.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,675006.0,2873.0,True,,False,False,FOR_SALE,675000.0,,True,False,False,USD,USA,538400.0,1.2058,acres,,,,,,,,,,,,,,,,,,,6.7,Boulder Valley Re 2 School District,1.0,1965.0,1965.0,1359.0,1359.0,52523.0,22525.0,14894.0,Boulder County,,,,1,,Forced Air,6,Average,Ranch,Masonry,Average,Brick Veneer,,,Single Family,DAVIDSON,"1,359","1,359","1,779",1,1,LOT 1 DAVIDSON,Attached Garage,420,Attached,1,"52,523",1,,LAFAYETTE,1.2058,1 FAMILY RESID,2022,RE2-UDCD-LOFD-BOSD,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,
7,13247146,"$1,649,700",$1.65M,5.0,4.0,3342.0,FOR_SALE,New construction,False,False,False,https://photos.zillowstatic.com/fp/83d06ea74d9964d09d8db7628230ce4f-p_e.jpg,True,False,NEW_CONSTRUCTION,False,/homedetails/731-Saint-Andrews-Ln-Louisville-CO-80027/13247146_zpid/,ForSale,New Construction,False,False,False,731 Saint Andrews Ln Louisville CO 80027,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #985910,"Meade Builder Services, LLC",True,False,False,,191422983,39.95852,-105.146126,,,,13247146,80027,Louisville,CO,39.95852,-105.146126,1649700.0,,4.0,5.0,3342.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,,,False,False,FOR_SALE,1649700.0,,True,False,False,USD,USA,171250.0,6969.6,sqft,,,,,,True,BUILDER_SPEC,,,,,,,,,,,,8.0,Boulder Valley Re 2 School District,,,,,,6754.0,11902.0,,Boulder County,,,,,,,,,,,,,,,,COAL CREEK RANCH FLG 4,,,,,,LOT 86 COAL CREEK RANCH FLG 4,,,,,"6,754",86,,LOUISVILLE,0.1551,1 FAMILY RESID,2022,RE2-LSVL-UDFC-LOFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13243655,"$1,369,000",$1.37M,3.0,3.0,2225.0,FOR_SALE,New construction,False,False,False,https://photos.zillowstatic.com/fp/11162bb959fb94e36bd4d70e989f15ad-p_e.jpg,True,False,NEW_CONSTRUCTION,False,/homedetails/494-Muirfield-Cir-Louisville-CO-80027/13243655_zpid/,ForSale,New Construction,False,False,False,494 Muirfield Cir Louisville CO 80027,https://photos.zillowstatic.com/fp/9c99c1ca6093dad43ed6b82abecf9a71-zillow_web_inf_14.jpg,MLS ID #985882,"Meade Builder Services, LLC",True,False,False,,197902073,39.955826,-105.15174,,,,13243655,80027,Louisville,CO,39.955826,-105.15174,1369000.0,,3.0,3.0,2225.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,,,False,False,FOR_SALE,1369000.0,,True,False,False,USD,USA,159950.0,6098.4,sqft,,,,,,True,BUILDER_SPEC,,,,,,,,,,,,8.0,Boulder Valley Re 2 School District,,,,,,5893.0,11117.0,,Boulder County,,,,,,,,,,,,,,,,COAL CREEK RANCH FLG 3,,,,,,LOT 88 COAL CREEK RANCH FLG 3 SPLIT FROM ID 30908,,,,,"5,893",88,,LOUISVILLE,0.1353,1 FAMILY RESID,2022,RE2-LSVL-UDFC-LOFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13246654,"$850,000",$850K,4.0,3.0,2948.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/8dd755e8a45a8c1bb4082a57293ef0cd-p_e.jpg,True,False,,False,/homedetails/1812-Eldorado-Dr-Superior-CO-80027/13246654_zpid/,ForSale,For Sale (Broker),False,False,False,1812 Eldorado Dr Superior CO 80027,https://photos.zillowstatic.com/fp/8dd1dd7033ea7ca8cc1a403da3dafc72-zillow_web_inf_14.jpg,MLS ID #4833442,"Ascendant Real Estate, LLC",True,False,False,,243390636,39.935482,-105.14757,OPEN_HOUSE,Open: Sun. 1-3pm,,13246654,80027,Superior,CO,39.935482,-105.14757,850000.0,,3.0,4.0,2948.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,869230.0,3175.0,True,,False,False,FOR_SALE,850000.0,,True,False,False,USD,USA,591100.0,6544.0,sqft,True,,Sun. 1-3pm,"[{'open_house_start': 1682280000000, 'open_house_end': 1682287200000}]",,,,,,,,,,,,,,,8.3,Boulder Valley Re 2 School District,,1994.0,1996.0,2203.0,2203.0,6544.0,14866.0,26215.0,Boulder County,745,,Unfinished,2,1,Forced Air,7,Good,,Frame,Good,Frame Wood,,,Single Family,ROCK CREEK RANCH FLG 9B,"2,203","1,234","3,537",,2 Plus,LOT 15 BLK 2 ROCK CREEK RANCH FLG 9B,Attached Garage,589,Attached,1,"6,544",15,2,SUPERIOR,0.1502,1 FAMILY RESID,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
