,0
amenitiesInfo_provider,
amenitiesInfo_superGroups,"[{'types': [21], 'amenityGroups': [{'groupTitle': 'Basement Information', 'referenceName': 'Basement Information', 'amenityEntries': [{'amenityName': 'Basement Sq. Ft', 'referenceName': 'BASEMENT_SQUARE_FEET', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1,232']}, {'amenityName': 'Basement Finish', 'referenceName': 'BASEMENT_FINISH_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Finished']}, {'amenityName': 'Basement Type', 'referenceName': 'BASEMENT_TYPE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Finished']}]}, {'groupTitle': 'Bathroom Information', 'referenceName': 'Bathroom Information', 'amenityEntries': [{'amenityName': '# of Full Baths', 'referenceName': 'FULL_BATHS', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1']}, {'amenityName': '# of 1/2 Baths', 'referenceName': 'HALF_BATHS', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1']}]}, {'groupTitle': 'Heating & Cooling', 'referenceName': 'Heating & Cooling', 'amenityEntries': [{'amenityName': 'Heating Type', 'referenceName': 'HEATING_TYPE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Forced Air']}]}, {'groupTitle': 'Room Information', 'referenceName': 'Room Information', 'amenityEntries': [{'amenityName': '# of Rooms', 'referenceName': 'TOTAL_ROOMS', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['6']}]}], 'titleString': 'Interior'}, {'types': [27, 20], 'amenityGroups': [{'groupTitle': 'Exterior Information', 'referenceName': 'Exterior Features', 'amenityEntries': [{'amenityName': 'Physical Condition', 'referenceName': 'CONDITION_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Average']}, {'amenityName': 'Building Style Type', 'referenceName': 'STYLE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Ranch']}, {'amenityName': 'Construction Type', 'referenceName': 'CONSTRUCTION_TYPE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Masonry']}, {'amenityName': 'Building Construction Quality', 'referenceName': 'BUILDING_QUALITY_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Average']}, {'amenityName': 'Exterior Wall', 'referenceName': 'EXTERIOR_WALL_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Brick Veneer']}, {'amenityName': 'Roof Covering Type', 'referenceName': 'ROOF_COVER_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Asphalt']}, {'amenityName': 'Roof Shape Type', 'referenceName': 'ROOF_TYPE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Asphalt']}, {'amenityName': 'Building Type', 'referenceName': 'BUILDING_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Single Family']}]}, {'groupTitle': 'Property Information', 'referenceName': 'PropertyInformation', 'amenityEntries': [{'amenityName': 'Subdivision Name', 'referenceName': 'SUBDIVISION_NAME', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['KEEWAYDIN']}, {'amenityName': 'Living Sq. Ft', 'referenceName': 'LIVING_SQUARE_FEET', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['2,464']}, {'amenityName': 'Ground Floor Sq. Ft', 'referenceName': 'GROUND_FLOOR_SQUARE_FEET', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1,232']}, {'amenityName': 'Building Sq. Ft', 'referenceName': 'BUILDING_SQUARE_FEET', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['2,968']}, {'amenityName': '# of Stories', 'referenceName': 'STORIES_NUMBER', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1']}, {'amenityName': 'Stories Type', 'referenceName': 'STORIES_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1']}, {'amenityName': 'Legal Description', 'referenceName': 'LEGAL_DESCRIPTION', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['LOT 8 BLK 6 KEEWAYDIN']}]}, {'groupTitle': 'Parking & Garage Information', 'referenceName': 'Parking & Garage', 'amenityEntries': [{'amenityName': 'Parking Type', 'referenceName': 'PARKING_TYPE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Attached Garage']}, {'amenityName': 'Garage/Parking Sq. Ft', 'referenceName': 'GARAGE_PARKING_SQUARE_FEET', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['504']}, {'amenityName': 'Garage / Carport Type', 'referenceName': 'GARAGE_CODE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['Attached']}]}, {'groupTitle': 'Lot Information', 'referenceName': 'Lot Information', 'amenityEntries': [{'amenityName': '# of Buildings', 'referenceName': 'NUMBER_OF_BUILDINGS', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1']}, {'amenityName': 'Land Sq. Ft', 'referenceName': 'LAND_SQUARE_FOOTAGE', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['10,985']}, {'amenityName': 'Legal Lot Number', 'referenceName': 'LEGAL_LOT_NUMBER', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['8']}, {'amenityName': 'Legal Block Number', 'referenceName': 'LEGAL_BLOCK_NUMBER', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['6']}, {'amenityName': 'Municipality Name', 'referenceName': 'MUNICIPALITY_NAME', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['BOULDER']}, {'amenityName': 'Acres', 'referenceName': 'ACRES', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['0.2522']}, {'amenityName': 'County Use Description', 'referenceName': 'COUNTY_USE_DESCRIPTION', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['1 FAMILY RESID']}]}], 'titleString': 'Exterior'}, {'types': [28], 'amenityGroups': [{'groupTitle': 'Assessor Information', 'referenceName': 'AssessorInformation', 'amenityEntries': [{'amenityName': 'Assessment Year', 'referenceName': 'ASSESSED_YEAR', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['2022']}, {'amenityName': 'Tax Area', 'referenceName': 'TAX_AREA', 'accessLevel': 1, 'displayLevel': 1, 'amenityValues': ['RE2-BLDR-NCWD-UDFC']}]}], 'titleString': 'Financial'}]"
amenitiesInfo_userAccessLevel,1
amenitiesInfo_maxRequiredAccessLevel,1
amenitiesInfo_isFMLS,False
amenitiesInfo_showGhostTown,False
amenitiesInfo_showListingVOW,False
amenitiesInfo_amenitiesLocked,False
amenitiesInfo_totalAmenities,34
amenitiesInfo_userHasAccess,True
amenitiesInfo_addressInfo_isFMLS,False
amenitiesInfo_addressInfo_street,4630 Sioux Dr
amenitiesInfo_addressInfo_city,Boulder
amenitiesInfo_addressInfo_state,CO
amenitiesInfo_addressInfo_zip,80303
amenitiesInfo_addressInfo_countryCode,US
amenitiesInfo_mlsDisclaimerInfo_showDisclaimerWithMlsInfo,False
amenitiesInfo_mlsDisclaimerInfo_showDisclaimerInFooter,False
amenitiesInfo_mlsDisclaimerInfo_listingBrokerName,
amenitiesInfo_mlsDisclaimerInfo_listingBrokerNumber,
amenitiesInfo_mlsDisclaimerInfo_listingAgentName,
amenitiesInfo_mlsDisclaimerInfo_listingAgentNumber,
amenitiesInfo_showDetailsProvidedDisclaimer,False
amenitiesInfo_sectionPreviewText,"Parking, utilities, exterior, etc."
amenitiesInfo_amenitiesDisplayLevel,1
publicRecordsInfo_basicInfo_beds,3
publicRecordsInfo_basicInfo_baths,1.5
publicRecordsInfo_basicInfo_propertyTypeName,Single Family Residential
publicRecordsInfo_basicInfo_numStories,1.0
publicRecordsInfo_basicInfo_yearBuilt,1961
publicRecordsInfo_basicInfo_yearRenovated,1966
publicRecordsInfo_basicInfo_sqFtFinished,2464
publicRecordsInfo_basicInfo_totalSqFt,2464
publicRecordsInfo_basicInfo_lotSqFt,10985
publicRecordsInfo_basicInfo_apn,R0015409
publicRecordsInfo_basicInfo_propertyLastUpdatedDate,1679593037365
publicRecordsInfo_basicInfo_displayTimeZone,US/Mountain
publicRecordsInfo_taxInfo_taxableLandValue,40227
publicRecordsInfo_taxInfo_taxableImprovementValue,6929
publicRecordsInfo_taxInfo_rollYear,2022
publicRecordsInfo_taxInfo_taxesDue,3733.7
